Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,Position
2022-2023,28,Lazio,it ITA,1. Serie A,2nd,20.9,1183,987,194,17,0,2,36,177,0,0,0,0,1033,2,25,Manuel Lazzari,DF
2023-2024,29,Lazio,it ITA,1. Serie A,7th,18.6,975,819,156,11,0,2,56,145,0,0,0,0,826,0,28,Manuel Lazzari,DF
2024-2025,30,Lazio,it ITA,1. Serie A,4th,9.9,539,446,92,11,1,1,77,81,0,0,0,0,419,1,17,Manuel Lazzari,DF
2013-2014,20,Voždovac,rs SRB,1. SuperLiga,7th,23.5,,,,,,,,,,,,,,,,Adam Marušić,DF
2014-2015,21,Kortrijk,be BEL,1. Pro League,6th,26.5,,,,,,,,,,,,,,,,Adam Marušić,DF
2015-2016,22,Kortrijk,be BEL,1. Pro League,7th,31.5,,,,,,,,,,,,,,,,Adam Marušić,DF
2016-2017,23,Oostende,be BEL,1. First Division A,4th,33.3,,,,,,,0,,,,,,,,,Adam Marušić,DF
2017-2018,24,Lazio,it ITA,1. Serie A,5th,28.0,1206,981,224,4,0,3,98,220,0,0,0,0,926,1,58,Adam Marušić,DF
2018-2019,25,Lazio,it ITA,1. Serie A,8th,23.5,988,813,170,7,0,5,56,163,0,0,0,0,798,5,24,Adam Marušić,DF
2019-2020,26,Lazio,it ITA,1. Serie A,4th,10.5,389,311,78,6,0,1,13,71,1,0,0,0,327,0,9,Adam Marušić,DF
2020-2021,27,Lazio,it ITA,1. Serie A,6th,33.0,1578,1383,192,23,0,6,64,168,0,0,0,0,1312,3,28,Adam Marušić,DF
2021-2022,28,Lazio,it ITA,1. Serie A,5th,30.2,1887,1645,239,33,0,4,29,206,0,0,0,0,1650,3,17,Adam Marušić,DF
2022-2023,29,Lazio,it ITA,1. Serie A,2nd,30.7,1829,1573,253,28,0,8,17,225,0,0,0,0,1564,3,18,Adam Marušić,DF
2023-2024,30,Lazio,it ITA,1. Serie A,7th,34.4,1880,1575,304,20,0,4,44,284,0,0,0,0,1560,1,27,Adam Marušić,DF
2024-2025,31,Lazio,it ITA,1. Serie A,4th,10.4,577,480,97,11,0,1,26,86,0,0,0,0,488,0,8,Adam Marušić,DF
2021-2022,22,Fortuna Sittard,nl NED,1. Eredivisie,15th,9.1,196,191,5,0,0,2,15,3,0,0,0,0,129,0,6,Tijjani Noslin,"FW,MF"
2022-2023,23,Fortuna Sittard,nl NED,1. Eredivisie,13th,17.9,485,467,15,3,1,3,32,12,0,0,0,0,334,3,17,Tijjani Noslin,"FW,MF"
2023-2024,24,Fortuna Sittard,nl NED,1. Eredivisie,10th,11.3,300,274,26,1,1,2,31,7,15,4,1,0,198,0,12,Tijjani Noslin,"FW,MF"
2023-2024,24,Hellas Verona,it ITA,1. Serie A,13th,14.9,338,330,7,0,0,0,15,0,0,0,0,0,235,1,9,Tijjani Noslin,"FW,MF"
2024-2025,25,Lazio,it ITA,1. Serie A,4th,6.0,166,157,8,0,1,2,11,0,0,0,0,0,124,1,7,Tijjani Noslin,"FW,MF"
2015-2016,22,Lazio,it ITA,1. Serie A,8th,6.5,,,,,,,,,,,,,,,,Patric,DF
2016-2017,23,Lazio,it ITA,1. Serie A,5th,11.3,,,,,,,16,,,,,,,,,Patric,DF
